Date : 2025-02-05 15:05:41
Directory : f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-
Total : 63 files,  10653 codes, 706 comments, 1412 blanks, all 12771 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| PIMMS v1.3\styles                                                                                                              |          1 |         21 |          0 |          3 |         24 |
| Project organization                                                                                                           |          1 |         15 |          0 |          5 |         20 |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                       | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\Dockerfile                                                                   | Docker           |         20 |          7 |          7 |         34 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0\Blank Subtraction Workflow Script.py           | Python           |         35 |         13 |         14 |         62 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0\Confusion matrix script.py                     | Python           |         56 |         17 |         22 |         95 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0\Detection Frequency script.py                  | Python           |         98 |         19 |         32 |        149 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0\Feature count script.py                        | Python           |         35 |         10 |         13 |         58 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0\Feature search script.py                       | Python           |        475 |         63 |         96 |        634 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0\Model development processor.py                 | Python           |        314 |         60 |         74 |        448 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0\Year organization script.py                    | Python           |         21 |          7 |          8 |         36 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0\setup_environment.py                           | Python           |         43 |          0 |         13 |         56 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.2\Subtracted_reader.py                             | Python           |         79 |          7 |         14 |        100 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\Data_output\PIMMS Processed Data set test.csv                     | CSV              |         15 |          0 |          1 |         16 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\Data_output\PIMMS Processed Data set.csv                          | CSV              |        386 |          0 |          1 |        387 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\Figures\sankey_filtering_performance.py                           | Python           |         73 |          9 |         11 |         93 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\FluoromatchIM Processor v1.1.py                                   | Python           |        312 |         60 |         74 |        446 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\Main - homologous series analysis.py                              | Python           |         53 |         11 |         17 |         81 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\Main.py                                                           | Python           |        271 |         25 |         43 |        339 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\import folder\Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv | CSV              |        120 |          0 |          1 |        121 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\import folder\Kauffman_M-H_external_PFAS_library_mz_only.csv      | CSV              |      2,587 |          0 |          1 |      2,588 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\import folder\MPFAC HIF ES SIL peaks.csv                          | CSV              |         30 |          0 |          1 |         31 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\import folder\Neutral loss masses.xlsx                            | Excel            |         43 |          0 |          0 |         43 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\import folder\repeating_units.py                                  | Python           |          3 |          0 |          1 |          4 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\CCS_mz_trend_analysis.py                                  | Python           |        276 |         31 |         84 |        391 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\ML_algorithm_density.py                                   | Python           |         34 |          3 |         11 |         48 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\Standard_library_scoring.py                               | Python           |        203 |          3 |         58 |        264 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\Testing group refinement algorithm.py                     | Python           |        113 |         13 |         31 |        157 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\_init_.py                                                 | Python           |          0 |          0 |          1 |          1 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\blank_subtraction.py                                      | Python           |        511 |         63 |        120 |        694 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\blank_subtraction_workflow.py                             | Python           |         58 |          1 |         18 |         77 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\branching_filter.py                                       | Python           |        117 |          7 |         36 |        160 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\crude_filters.py                                          | Python           |         75 |          6 |         28 |        109 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\detection_frequency_filter.py                             | Python           |         36 |          4 |         15 |         55 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\gui_module.py                                             | Python           |        112 |         17 |         30 |        159 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\mass_defect_filter.py                                     | Python           |         19 |          3 |          7 |         29 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\monoisotopic_grouper.py                                   | Python           |         96 |          4 |         22 |        122 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\plotly_graphing.py                                        | Python           |        231 |         11 |         38 |        280 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\post_source_decay_filter.py                               | Python           |         39 |          9 |         22 |         70 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\smearing_filter.py                                        | Python           |         34 |          6 |         10 |         50 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\testing plotly.py                                         | Python           |         59 |          8 |         14 |         81 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\output\final_adjusted_dataset.csv                                 | CSV              |      1,808 |          0 |          1 |      1,809 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\tests\Dummy scored data.csv                                       | CSV              |          6 |          0 |          1 |          7 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\tests\__pycache__\_init_.py                                       | Python           |          0 |          0 |          1 |          1 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\tests\test_remove_post_source_decay.py                            | Python           |         36 |          7 |         12 |         55 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\Development Scripts\Peak Alignment\Debugging alignment.py         | Python           |        217 |         35 |         50 |        302 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\Isotopic_modeling\Modules\Atomic_weight_importing.py              | Python           |         79 |         18 |         29 |        126 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\Isotopic_modeling\Modules\Example binary search tool.py           | Python           |         71 |         14 |         22 |        107 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\Isotopic_modeling\Modules\Resolving_power.py                      | Python           |          0 |          0 |          1 |          1 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\Isotopic_modeling\Modules\monoisotopic_peak_puller.py             | Python           |        155 |         16 |         32 |        203 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\modules\Align_peaks_algorithm.py                                  | Python           |        148 |         26 |         37 |        211 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\modules\auto_reload.py                                            | Python           |         30 |          0 |          8 |         38 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\modules\blank_subtraction.py                                      | Python           |         43 |          6 |         12 |         61 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\modules\cef_conversion.py                                         | Python           |        149 |         19 |         37 |        205 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\modules\data_importing.py                                         | Python           |        250 |         20 |         45 |        315 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\modules\drag_drop_widget.py                                       | Python           |        188 |         13 |         37 |        238 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\modules\feather_reader.py                                         | Python           |         30 |          2 |          7 |         39 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\modules\home.py                                                   | Python           |         19 |          4 |          9 |         32 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\modules\peak_alignment.py                                         | Python           |        229 |         14 |         46 |        289 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\modules\pre_processing_tab.py                                     | Python           |         15 |          2 |          7 |         24 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\styles\theme.qss                                                  | QSS              |         21 |          0 |          3 |         24 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\Project organization\PIMMS flowchart.md                                      | Markdown         |         15 |          0 |          5 |         20 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\config.json                                                                  | JSON             |          1 |          0 |          0 |          1 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\main.py                                                                      | Python           |         38 |          8 |         17 |         63 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\requirements.txt                                                             | pip requirements |         12 |          0 |          0 |         12 |
| f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\setup_environment.sh                                                         | Shell Script     |         11 |          5 |          4 |         20 |
| Total                                                                                                                          |                  |     10,653 |        706 |      1,412 |     12,771 |
+--------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
